Age,Gender,Education_Level,Job_Title,Years_of_Experience,Experience_categories,Salary
32,Male,Bachelors,Software Engineer,5,Intermediate,90000
28,Female,Masters,Data Analyst,3,Intermediate,65000
45,Male,PhD,Senior Manager,15,Senior,150000
36,Female,Bachelors,Sales Associate,7,Mid-Level,60000
52,Male,Masters,Director,20,Senior,200000
29,Male,Bachelors,Marketing Analyst,2,Intermediate,55000
42,Female,Masters,Product Manager,12,Senior,120000
31,Male,Bachelors,Sales Manager,4,Intermediate,80000
26,Female,Bachelors,Marketing Coordinator,1,Fresher,45000
38,Male,PhD,Senior Scientist,10,Mid-Level,110000
29,Male,Masters,Software Developer,3,Intermediate,75000
48,Female,Bachelors,HR Manager,18,Senior,140000
35,Male,Bachelors,Financial Analyst,6,Mid-Level,65000
40,Female,Masters,Project Manager,14,Senior,130000
27,Male,Bachelors,Customer Service Rep,2,Intermediate,40000
44,Male,Bachelors,Operations Manager,16,Senior,125000
33,Female,Masters,Marketing Manager,7,Mid-Level,90000
39,Male,PhD,Senior Engineer,12,Senior,115000
25,Female,Bachelors,Data Entry Clerk,0,Fresher,35000
51,Male,Bachelors,Sales Director,22,Senior,180000
34,Female,Masters,Business Analyst,5,Intermediate,80000
47,Male,Masters,VP of Operations,19,Senior,190000
30,Male,Bachelors,IT Support,2,Intermediate,50000
36,Female,Bachelors,Recruiter,9,Mid-Level,60000
41,Male,Masters,Financial Manager,13,Senior,140000
28,Female,Bachelors,Social Media Specialist,3,Intermediate,45000
37,Female,Masters,Software Manager,11,Senior,110000
24,Male,Bachelors,Junior Developer,1,Fresher,40000
43,Female,PhD,Senior Consultant,15,Senior,140000
33,Male,Masters,Product Designer,6,Mid-Level,90000
50,Male,Bachelors,CEO,25,Senior,250000
31,Female,Bachelors,Accountant,4,Intermediate,55000
29,Male,Masters,Data Scientist,3,Intermediate,75000
39,Female,Bachelors,Marketing Specialist,10,Mid-Level,65000
46,Male,PhD,Senior Manager,20,Senior,170000
27,Male,Bachelors,Technical Writer,2,Intermediate,45000
35,Female,Bachelors,HR Generalist,7,Mid-Level,60000
42,Male,Masters,Project Engineer,14,Senior,115000
26,Female,Bachelors,Customer Success Rep,1,Fresher,40000
49,Male,Bachelors,Sales Executive,21,Senior,160000
